epoch,loss,mae,r2_score,rmse,val_loss,val_mae,val_r2_score,val_rmse
0,226.84390258789062,11.574481964111328,-428380.90625,15.0613374710083,148.2954864501953,9.252880096435547,-200473.53125,12.17766284942627
1,145.53750610351562,9.48888111114502,-85191.40625,12.063892364501953,89.6746826171875,7.224823951721191,-106932.5625,9.469671249389648
2,104.60962677001953,8.01972484588623,-474467.90625,10.227884292602539,74.46292114257812,6.396629333496094,-17557.42578125,8.629189491271973
3,85.95720672607422,7.169865131378174,-77436.2109375,9.271310806274414,140.56849670410156,9.87070083618164,-698905.125,11.856158256530762
4,76.7593002319336,6.7695631980896,-1246637.125,8.761238098144531,79.9972915649414,6.814232349395752,-30873.287109375,8.944120407104492
5,69.3639907836914,6.411942005157471,-83254.9921875,8.32850456237793,62.822757720947266,6.029305458068848,-101219.828125,7.926080703735352
6,66.4504165649414,6.2950358390808105,-68718.0234375,8.151712417602539,62.48148727416992,5.978526592254639,-66317.78125,7.9045233726501465
7,61.850830078125,6.071102619171143,-1124341.25,7.864529609680176,67.20710754394531,6.382348537445068,-221908.359375,8.197994232177734
8,57.521732330322266,5.908401012420654,-210364.3125,7.58430814743042,71.99199676513672,6.4211297035217285,-22995.73046875,8.484809875488281
9,52.136043548583984,5.6431803703308105,-29348.046875,7.220529079437256,63.767765045166016,6.192143440246582,-195090.171875,7.985472202301025
10,39.230308532714844,4.86887264251709,-4347.357421875,6.2634100914001465,64.56572723388672,6.040311813354492,-31119.349609375,8.035280227661133
11,35.571693420410156,4.638485908508301,-1529.8851318359375,5.964200973510742,62.23920440673828,6.0176544189453125,-96881.203125,7.8891825675964355
12,32.664527893066406,4.473119735717773,-24914.478515625,5.7152886390686035,65.22775268554688,6.286294937133789,-96429.6015625,8.076369285583496
13,29.983041763305664,4.256520748138428,-92312.359375,5.475677013397217,65.05911254882812,6.218849182128906,-47240.46484375,8.065922737121582
14,29.609294891357422,4.261014938354492,-97690.359375,5.441442012786865,67.99986267089844,6.276745319366455,-12132.0048828125,8.246203422546387
15,27.551984786987305,4.141961574554443,-286415.3125,5.248998165130615,68.53915405273438,6.291619777679443,-30967.265625,8.278837203979492
16,26.60481071472168,4.031296253204346,-65821.2734375,5.157985210418701,64.03463745117188,6.152714252471924,-84375.640625,8.002163887023926
17,25.001604080200195,3.913048505783081,-155875.9375,5.000160217285156,65.143310546875,6.293147563934326,-139950.21875,8.07114028930664
18,24.274869918823242,3.8709733486175537,-233060.640625,4.926953315734863,67.92182159423828,6.377038955688477,-78636.7421875,8.241469383239746
19,23.452531814575195,3.7891247272491455,-64582.9765625,4.8427815437316895,67.14996337890625,6.388360023498535,-109377.96875,8.194507598876953
20,19.091758728027344,3.442780017852783,-44538.7734375,4.369411468505859,66.09031677246094,6.279592037200928,-43195.83203125,8.129594802856445
21,17.57750129699707,3.2906270027160645,-6485.24951171875,4.1925530433654785,66.35486602783203,6.311463356018066,-126820.328125,8.145849227905273
22,16.943498611450195,3.2394087314605713,-31705.798828125,4.11624813079834,66.71607208251953,6.324913024902344,-57701.67578125,8.167990684509277
23,16.091506958007812,3.136791467666626,-39671.44140625,4.011422157287598,64.67386627197266,6.173515796661377,-49852.78125,8.042006492614746
24,16.103557586669922,3.165250301361084,-80206.3046875,4.012923717498779,65.91967010498047,6.300245761871338,-159081.234375,8.11909294128418
25,15.71364974975586,3.102778911590576,-12045.302734375,3.9640445709228516,72.63334655761719,6.575438499450684,-10359.513671875,8.522520065307617
26,15.25332260131836,3.0607247352600098,-80207.6953125,3.905550241470337,66.86924743652344,6.39258337020874,-143815.546875,8.177361488342285
27,15.044897079467773,3.0337777137756348,-1810.3272705078125,3.878775119781494,64.75018310546875,6.205570697784424,-34710.79296875,8.04675006866455
28,14.539846420288086,3.0118696689605713,-19673.029296875,3.813114881515503,64.62191009521484,6.231995582580566,-64077.72265625,8.038775444030762
29,14.625798225402832,3.010262966156006,-24574.634765625,3.824368953704834,64.5484848022461,6.182466983795166,-25253.798828125,8.034207344055176
30,12.233105659484863,2.7543787956237793,-12879.76953125,3.4975857734680176,64.66712188720703,6.227720737457275,-87650.28125,8.041586875915527
31,11.5584077835083,2.6912944316864014,-7068.630859375,3.399765729904175,65.93560028076172,6.323710918426514,-83006.7421875,8.120074272155762
