epoch,loss,mae,r2_score,rmse,val_loss,val_mae,val_r2_score,val_rmse
0,192.58876037597656,10.877697944641113,-87801.296875,13.87763500213623,328.2968444824219,16.45958709716797,-2661212.5,18.11896324157715
1,149.4536590576172,9.660266876220703,-816795.375,12.22512435913086,194.7733154296875,11.617920875549316,-516289.53125,13.956120491027832
2,131.44937133789062,9.052657127380371,-4989.39892578125,11.465137481689453,67.56641387939453,6.351350784301758,-207698.6875,8.219879150390625
3,121.0023422241211,8.727681159973145,-64967.38671875,11.000105857849121,73.83921813964844,6.762332916259766,-296773.34375,8.592974662780762
4,115.3961181640625,8.503331184387207,-2718042.0,10.742258071899414,77.95960998535156,6.981591701507568,-69374.984375,8.829473495483398
5,110.51873779296875,8.318113327026367,-4721.05029296875,10.512788772583008,146.02435302734375,10.53402042388916,-1025456.8125,12.084053039550781
6,105.76783752441406,8.087019920349121,-476084.71875,10.28434944152832,59.29270935058594,6.05570125579834,-14805.134765625,7.700175762176514
7,101.26408386230469,7.9484639167785645,-36170.88671875,10.063005447387695,64.78636169433594,6.221322536468506,-67628.953125,8.04899787902832
8,97.235595703125,7.744548320770264,-28538.232421875,9.860811233520508,52.85441970825195,5.46074104309082,-25844.396484375,7.27010440826416
9,95.56147003173828,7.736010551452637,-57252.1640625,9.775554656982422,56.78193664550781,5.785904884338379,-37981.32421875,7.535378932952881
10,84.77627563476562,7.245970249176025,-10815.8427734375,9.207403182983398,58.01677322387695,6.010005950927734,-198266.90625,7.6168742179870605
11,81.74913787841797,7.13862943649292,-6312.08642578125,9.041522979736328,49.515357971191406,5.424497127532959,-70680.1953125,7.036715030670166
12,79.45526123046875,6.974442481994629,-283366.53125,8.91376781463623,59.88032531738281,6.279554843902588,-214336.25,7.7382378578186035
13,80.44009399414062,7.111517906188965,-19236.9765625,8.968839645385742,49.548221588134766,5.494305610656738,-87461.484375,7.0390496253967285
14,76.38948822021484,6.894188404083252,-42489.88671875,8.740107536315918,46.07917785644531,5.182278156280518,-56844.4609375,6.788164138793945
15,76.4420394897461,6.900740623474121,-5137.576171875,8.74311351776123,86.17606353759766,7.909783363342285,-541458.125,9.283105850219727
16,73.76588439941406,6.789566993713379,-275599.53125,8.588706970214844,46.840248107910156,5.223659515380859,-47181.84765625,6.843993663787842
17,75.40445709228516,6.818519115447998,-5499.38134765625,8.683573722839355,66.48989868164062,6.6114325523376465,-455188.03125,8.154133796691895
18,71.31714630126953,6.677536964416504,-6490.2744140625,8.444948196411133,46.33430099487305,5.203496932983398,-49518.140625,6.8069305419921875
19,70.70053100585938,6.656379222869873,-23662.396484375,8.408360481262207,52.46052932739258,5.668604850769043,-182062.09375,7.242964267730713
20,64.5113525390625,6.353358745574951,-25178.892578125,8.031895637512207,47.45718002319336,5.298095703125,-40746.015625,6.888917446136475
21,61.245033264160156,6.165774822235107,-7615.54296875,7.825920581817627,47.305110931396484,5.267308712005615,-118363.8671875,6.877871036529541
22,61.966552734375,6.245975494384766,-7985.5712890625,7.871883392333984,51.92640686035156,5.5856194496154785,-181407.296875,7.205997943878174
23,60.614158630371094,6.195347785949707,-22835.25390625,7.7855095863342285,47.118011474609375,5.260481834411621,-89020.4765625,6.864255905151367
24,59.73287582397461,6.130270957946777,-10521.298828125,7.728704452514648,48.250091552734375,5.254082679748535,-170335.15625,6.946228504180908
25,59.789798736572266,6.153167724609375,-99946.296875,7.732386112213135,47.41523742675781,5.311135768890381,-175340.640625,6.8858723640441895
26,56.23924255371094,5.9583048820495605,-25665.4921875,7.4992828369140625,53.85236740112305,5.742528438568115,-300104.15625,7.338417053222656
27,55.977848052978516,5.886364459991455,-3685.214111328125,7.481834411621094,48.074867248535156,5.366369247436523,-203294.75,6.9336042404174805
28,57.507389068603516,6.012552261352539,-13169.6806640625,7.583362579345703,47.787994384765625,5.2362260818481445,-105175.1953125,6.912886142730713
29,54.3094596862793,5.799830436706543,-22729.490234375,7.369495391845703,49.282623291015625,5.425954341888428,-73978.3828125,7.020158290863037
30,52.1566276550293,5.721351146697998,-18031.787109375,7.221954345703125,46.76267623901367,5.2331318855285645,-125422.125,6.838324069976807
31,51.53976058959961,5.671846389770508,-13592.2744140625,7.17911958694458,47.386863708496094,5.260479927062988,-166631.453125,6.883811950683594
32,50.945735931396484,5.641958713531494,-1872.211181640625,7.137628078460693,48.4714241027832,5.3658881187438965,-304715.34375,6.962141990661621
33,49.77299499511719,5.582643985748291,-5002.86181640625,7.05499792098999,54.666866302490234,5.830892086029053,-353482.59375,7.393704414367676
34,50.588436126708984,5.628820419311523,-24112.068359375,7.112554550170898,47.90285110473633,5.258795261383057,-150085.984375,6.9211883544921875
