model_name,test_rmse,train_rmse,rmse_gap
Two-Stream-L1,8.8489,1.6517339352184042,7.197166064781596
Two-Stream-B1,9.7161,8.12330586304192,1.59279413695808
I3D Single-class A-2,8.4287,4.997499985344235,3.431200014655764
I3D Single-class A-3,7.2014,4.673502252730217,2.5278977472697823
I3D Single-class A-4,7.4584,3.3101318819446908,4.148268118055309
I3D Single-class A-5,7.1306,4.31818159368049,2.8124184063195106
I3D Single-class A-3 (A),7.0906,5.957003073703856,1.1335969262961445
I3D Single-class A-3 (B),7.1878,5.14199041071754,2.0458095892824604
I3D Single-class A-3 (C),7.4074,6.0736893107288354,1.3337106892711645
I3D Mini-B1,7.0931,5.1238109791038315,1.9692890208961682
I3D Mini-L1,7.714,5.737997049314286,1.9760029506857144
I3D OG-L1,12.2301,12.406486143848305,-0.17638614384830476
I3D OG-L2,12.2295,12.406401895126502,-0.17690189512650178
I3D Mini-B2,6.7954,4.449121221288945,2.3462787787110546
I3D OG-B2,6.8986,0.8616103144713673,6.036989685528633
I3D Mini-B3,6.9925,4.715671570929019,2.2768284290709806
I3D Mini-B4,7.0053,3.2470174455282717,3.7582825544717284
I3D Mini-L2,7.0556,4.857641959793445,2.1979580402065553
I3D OG-B1,7.1306,4.31818159368049,2.8124184063195106
Fusion NC-B1,8.0861,2.436381058747098,5.649718941252901
Fusion NC-B2,8.0632,7.076806356111795,0.9863936438882055
Fusion NC-L1,8.0909,6.506989755634447,1.5839102443655522
Fusion NC-L2,7.9595,6.5252471058558745,1.4342528941441257
Fusion SI-B1,7.0173,5.754150882656023,1.2631491173439766
Fusion SI-B2,7.0845,5.76221429277914,1.3222857072208605
Fusion SI-L1,7.4718,6.218590815821471,1.2532091841785293
Fusion SI-L2,7.1434,5.596880841105707,1.5465191588942924
Fusion DI-B1,8.631,7.686709231512173,0.9442907684878277
Fusion DI-B2,7.8779,6.640342365308857,1.237557634691143
Fusion DI-L1,7.6383,5.143252550546789,2.495047449453211
Fusion DI-L2,7.9345,6.218192377441461,1.7163076225585385
Fusion DIT-1,10.377,6.592407668461311,3.78459233153869
Fusion DIT-2,11.4526,9.462465120399925,1.9901348796000757
Fusion-B1,10.586,8.783793559554722,1.8022064404452784
Fusion-L1,9.1491,6.7093169950297415,2.439783004970259
Fusion(S)-L1,9.2615,7.46303809189228,1.7984619081077202
CNN_RNN T(O)-a,10.4468,7.258739597003696,3.188060402996304
CNN_RNN T(O)-b(5),9.9158,8.656688031843592,1.2591119681564091
CNN_RNN T(O)-b(7),10.5819,6.148672329636401,4.433227670363598
CNN_RNN-1,10.1854,9.338431283043475,0.8469687169565248
CNN_RNN Scratch(GRU)-B1,8.3539,7.172485591518945,1.1814144084810545
CNN_RNN Scratch(GRU)-L1,12.2297,12.406437562538413,-0.17673756253841333
CNN_RNN Scratch(LSTM)-B1,7.8643,6.338397093111234,1.5259029068887662
CNN_RNN Scratch(LSTM)-L1,9.4743,9.32682282577714,0.14747717422285866
CNN_RNN Scratch(LSTM)-Mixed1,10.2637,9.619113459669762,0.6445865403302378
